Hora,viernes,sabado,domingo,lunes,martes,miercoles,jueves,viernes,sabado,domingo
00:00,79.7,64.4,55,58.1,55.2,55.1,57.8,57.1,54.5,55.4
01:00,61.7,54,52.7,51.8,53.2,53.5,51,52.6,55.1,56
02:00,57.4,53,53.3,51.8,57.7,52.7,54.3,52.1,54,53.5
03:00,56.4,52.9,53.7,50.6,55,50.8,50.8,50.8,52.4,50.3
04:00,53.3,52,51.5,52.6,52.1,51.7,51.6,55.7,52,50.1
05:00,56.5,55.2,54.3,57.7,55.3,55.5,55.8,55.5,54.2,52.4
06:00,56,57.2,56.4,62.8,60.7,60.5,60.9,61.2,57.9,55.4
07:00,63.1,60.7,58,65.1,65.4,65.5,65.3,65.5,61.9,57.8
08:00,59.4,61.9,62.3,65.2,65.5,65.5,65.8,65.5,61.6,60
09:00,59.7,60.8,59,65.5,65.6,65.5,65.6,65.9,61.9,59.7
10:00,58.3,61.5,60.4,65.1,65,64.9,66.9,65.4,63.5,60.8
11:00,62.8,62.2,60.5,65.1,65,65,65.6,65.4,63.5,62.4
12:00,61.4,63.9,61.2,64.7,64.7,64.9,73.9,66,67.4,62.9
13:00,60.5,63.6,62.6,64.8,64.9,65.8,65.5,66.1,64.3,61.7
14:00,60.7,63.6,61.1,65,64.9,65.3,64.9,70.1,63.7,62.6
15:00,60.2,68.6,62,65.9,64.6,66.9,65.1,65.9,65.1,62.9
16:00,61.8,62.4,62.4,64.8,64.9,65,64.8,71.8,68.6,61.7
17:00,60.8,62.2,60.8,65.3,65.6,65.5,65.6,66.8,64.4,61.7
18:00,62.9,62.3,61,65.9,66.7,65.2,65.3,68.5,64,61.5
19:00,61.2,63.3,62.4,65.2,66.3,65.7,65.4,70.3,65.4,66.1
20:00,74,62.5,62.3,69.7,64.5,65.3,65.4,66.4,63.5,64.8
21:00,62.8,62.4,61.7,63.7,64.3,65.2,64.8,64.3,63.4,62.6
22:00,59.3,62.7,58.7,61,60.9,60.6,62.9,62.7,61.1,59.4
23:00,54.9,57.7,57.8,58.6,58.2,58.2,66.2,58,58.3,56.7
